campaign_name,start_date,end_date,budget,roi,type,target_audience,channel,conversion_rate,revenue,campaign_duration,net_profit,start_month,start_month_name,start_quarter,start_year,end_month,end_month_name,end_quarter,end_year,start_day_of_week,campaign_quarter,revenue_category,roi_performance,budget_category,conversion_performance,profit_margin,revenue_per_day,is_profitable,is_high_performing,is_holiday_campaign,is_long_campaign,is_digital,cost_per_conversion
Profound demand-driven secured line,2023-03-19,2024-01-29,71007.37,0.1,email,B2C,paid,0.92,777359.75,316,706352.38,3,March,1,2023,1,January,1,2024,Sunday,1Q2023,high revenue,Muy bajo,high budget,Muy alta,0.9086557157094898,2459.9992088607596,1,0,0,0,1,771.8192391304348
Right-sized needs-based solution,2022-08-09,2024-04-06,65209.95,0.37,email,B2B,organic,0.48,119853.0,606,54643.05,8,August,3,2022,4,April,2,2024,Tuesday,3Q2022,low revenue,Bajo,high budget,Media,0.4559172486295712,197.77722772277227,1,0,0,1,1,1358.5406249999999
Seamless dynamic framework,2023-04-29,2024-02-13,54554.48,0.21,podcast,B2B,promotion,0.89,222731.21,290,168176.72999999998,4,April,2,2023,2,February,1,2024,Saturday,2Q2023,low revenue,Bajo,high budget,Alta,0.7550658482033119,768.0386551724138,1,0,0,0,0,612.9716853932584
Re-contextualized upward-trending architecture,2023-01-07,2023-08-20,18530.72,0.85,social media,B2C,promotion,0.79,315733.7,225,297202.98,1,January,1,2023,8,August,3,2023,Saturday,1Q2023,low revenue,Muy alto,low budget,Alta,0.9413090208615678,1403.260888888889,1,1,1,0,0,234.5660759493671
Cloned logistical analyzer,2022-08-15,2023-08-31,56508.18,0.44,webinar,B2B,paid,0.71,839620.4,381,783112.22,8,August,3,2022,8,August,3,2023,Monday,3Q2022,high revenue,Medio,high budget,Alta,0.9326979430228232,2203.7280839895016,1,0,0,1,1,795.8898591549296
Centralized value-added superstructure,2022-08-08,2024-05-20,23692.97,0.35,webinar,B2B,organic,0.77,688901.13,651,665208.16,8,August,3,2022,5,May,2,2024,Monday,3Q2022,high revenue,Bajo,low budget,Alta,0.9656075901631923,1058.2198617511522,1,0,0,1,1,307.7009090909091
Proactive bifurcated architecture,2022-11-25,2024-04-21,74431.67,0.85,email,B2B,promotion,0.52,20979.33,513,-53452.34,11,November,4,2022,4,April,2,2024,Friday,4Q2022,low revenue,Muy alto,high budget,Media,-2.5478573433946647,40.89538011695907,1,1,1,1,0,1431.378269230769
Triple-buffered client-server portal,2023-03-17,2023-12-05,6793.37,0.78,email,B2C,paid,0.72,396734.21,263,389940.84,3,March,1,2023,12,December,4,2023,Friday,1Q2023,low revenue,Alto,low budget,Alta,0.9828767728399324,1508.4950950570344,1,1,0,0,1,94.35236111111111
Organic demand-driven support,2023-03-30,2024-02-12,69644.4,0.56,podcast,B2B,referral,0.2,426548.11,319,356903.70999999996,3,March,1,2023,2,February,1,2024,Thursday,1Q2023,medium revenue,Medio,high budget,Baja,0.8367255688930376,1337.1414106583072,1,1,0,0,0,3482.22
Realigned methodical artificial intelligence,2023-05-23,2024-06-16,66054.48,0.3,email,B2B,paid,0.31,865754.6,390,799700.12,5,May,2,2023,6,June,2,2024,Tuesday,2Q2023,high revenue,Bajo,high budget,Media,0.9237029985171318,2219.8835897435897,1,0,0,1,1,2130.7896774193546
Object-based demand-driven installation,2022-10-26,2023-12-25,68408.1,0.58,webinar,B2B,referral,0.11,153122.51,425,84714.41,10,October,4,2022,12,December,4,2023,Wednesday,4Q2022,low revenue,Medio,high budget,Baja,0.5532459597220553,360.2882588235294,1,1,0,1,0,6218.918181818182
Ameliorated actuating policy,2022-08-26,2024-04-23,44314.41,0.7,podcast,B2B,organic,0.53,461585.16,606,417270.75,8,August,3,2022,4,April,2,2024,Friday,3Q2022,medium revenue,Alto,medium budget,Media,0.9039951587698357,761.6916831683168,1,1,0,1,1,836.1209433962265
Public-key disintermediate neural-net,2022-11-13,2024-07-24,31427.3,0.36,social media,B2C,promotion,0.39,173127.66,619,141700.36000000002,11,November,4,2022,7,July,3,2024,Sunday,4Q2022,low revenue,Bajo,medium budget,Media,0.8184732584036544,279.6892730210016,1,0,1,1,0,805.8282051282051
Upgradable contextually-based Graphic Interface,2022-08-25,2024-01-08,80418.44,0.24,webinar,B2B,promotion,0.91,476196.94,501,395778.5,8,August,3,2022,1,January,1,2024,Thursday,3Q2022,medium revenue,Bajo,high budget,Muy alta,0.8311235683286835,950.4928942115769,1,0,0,1,0,883.7191208791209
Integrated client-server software,2022-09-23,2023-12-13,20633.51,0.57,webinar,B2C,organic,0.51,400052.8,446,379419.29,9,September,3,2022,12,December,4,2023,Friday,3Q2022,medium revenue,Medio,low budget,Media,0.948423033159623,896.9793721973094,1,1,0,1,1,404.5786274509804
Innovative intangible emulation,2022-11-18,2024-05-19,2792.69,0.2,webinar,B2C,referral,0.43,503319.66,548,500526.97,11,November,4,2022,5,May,2,2024,Friday,4Q2022,medium revenue,Bajo,low budget,Media,0.9944514585422711,918.4665328467153,1,0,1,1,0,64.94627906976744
Fundamental incremental service-desk,2023-01-02,2023-10-30,8053.59,0.49,email,B2B,organic,0.46,781401.65,301,773348.06,1,January,1,2023,10,October,4,2023,Monday,1Q2023,high revenue,Medio,low budget,Media,0.9896934054336844,2596.01877076412,1,0,1,0,1,175.07804347826087
Proactive motivating open architecture,2023-03-17,2023-11-10,62167.9,0.8,email,B2C,paid,0.85,419872.14,238,357704.24,3,March,1,2023,11,November,4,2023,Friday,1Q2023,medium revenue,Muy alto,high budget,Alta,0.8519361155993822,1764.168655462185,1,1,0,0,1,731.3870588235294
Business-focused attitude-oriented middleware,2023-05-29,2023-12-16,63741.76,0.61,social media,B2C,promotion,0.1,141376.44,201,77634.68,5,May,2,2023,12,December,4,2023,Monday,2Q2023,low revenue,Alto,high budget,Baja,0.5491344951110665,703.3653731343284,1,1,0,0,0,6374.176
Balanced empowering info-mediaries,2022-09-21,2024-06-18,49202.14,0.64,email,B2B,promotion,0.9,564219.74,636,515017.6,9,September,3,2022,6,June,2,2024,Wednesday,3Q2022,medium revenue,Alto,medium budget,Muy alta,0.9127961386108185,887.1379559748427,1,1,0,1,0,546.6904444444444
User-friendly dynamic monitoring,2023-04-09,2023-11-18,44567.53,0.38,podcast,B2B,referral,0.7,211752.49,223,167184.96,4,April,2,2023,11,November,4,2023,Sunday,2Q2023,low revenue,Bajo,medium budget,Alta,0.789530078253153,949.5627354260089,1,0,0,0,0,636.679
Multi-channeled zero administration standardization,2023-04-16,2023-09-09,89826.92,0.11,webinar,B2B,promotion,0.52,713631.59,146,623804.6699999999,4,April,2,2023,9,September,3,2023,Sunday,2Q2023,high revenue,Muy bajo,high budget,Media,0.8741270408166768,4887.8876027397255,1,0,0,0,0,1727.440769230769
Optimized methodical installation,2023-04-12,2024-03-30,86447.45,0.32,webinar,B2C,referral,0.65,765775.14,353,679327.6900000001,4,April,2,2023,3,March,1,2024,Wednesday,2Q2023,high revenue,Bajo,high budget,Alta,0.8871111825332957,2169.3346742209633,1,0,0,0,0,1329.960769230769
Proactive regional conglomeration,2022-08-03,2024-03-29,11421.4,0.37,social media,B2B,referral,0.4,265099.33,604,253677.93000000002,8,August,3,2022,3,March,1,2024,Wednesday,3Q2022,low revenue,Bajo,low budget,Media,0.9569165263450496,438.9061754966888,1,0,0,1,0,285.53499999999997
Multi-lateral user-facing solution,2023-07-13,2024-06-13,68334.64,0.69,social media,B2C,promotion,0.97,169559.8,336,101225.15999999999,7,July,3,2023,6,June,2,2024,Thursday,3Q2023,low revenue,Alto,high budget,Muy alta,0.5969879653078147,504.6422619047619,1,1,0,0,0,704.480824742268
Integrated analyzing focus group,2023-04-13,2024-06-27,21878.6,0.77,podcast,B2B,paid,0.8,464823.41,441,442944.81,4,April,2,2023,6,June,2,2024,Thursday,2Q2023,medium revenue,Alto,low budget,Alta,0.9529313723678419,1054.0213378684807,1,1,0,1,1,273.48249999999996
Centralized contextually-based middleware,2023-03-03,2024-05-28,12949.94,0.97,social media,B2B,referral,0.77,494905.94,452,481956.0,3,March,1,2023,5,May,2,2024,Friday,1Q2023,medium revenue,Muy alto,low budget,Alta,0.9738335328931392,1094.9246460176992,1,1,0,1,0,168.18103896103898
Switchable modular solution,2022-09-21,2024-07-13,9569.17,0.78,webinar,B2B,promotion,0.55,571288.98,661,561719.8099999999,9,September,3,2022,7,July,3,2024,Wednesday,3Q2022,medium revenue,Alto,low budget,Media,0.9832498606922191,864.2798487140695,1,1,0,1,0,173.98490909090907
Reverse-engineered next generation emulation,2023-02-04,2024-07-16,88518.7,0.38,email,B2B,promotion,0.58,177753.54,528,89234.84000000001,2,February,1,2023,7,July,3,2024,Saturday,1Q2023,low revenue,Bajo,high budget,Media,0.5020144183907674,336.6544318181818,1,0,0,1,0,1526.1844827586208
Quality-focused mission-critical analyzer,2023-03-01,2023-12-08,25282.77,0.72,podcast,B2B,promotion,0.61,416092.89,282,390810.12,3,March,1,2023,12,December,4,2023,Wednesday,1Q2023,medium revenue,Alto,low budget,Alta,0.9392376783943605,1475.5067021276595,1,1,0,0,0,414.4716393442623
Innovative local workforce,2022-09-19,2023-10-07,17151.7,0.6,webinar,B2B,referral,0.8,519646.35,383,502494.64999999997,9,September,3,2022,10,October,4,2023,Monday,3Q2022,medium revenue,Alto,low budget,Alta,0.9669935139542498,1356.7789817232376,1,1,0,1,0,214.39625
Expanded scalable process improvement,2022-10-09,2024-07-03,53821.3,0.58,webinar,B2C,organic,0.64,504842.98,633,451021.68,10,October,4,2022,7,July,3,2024,Sunday,4Q2022,medium revenue,Medio,high budget,Alta,0.8933900200018627,797.5402527646129,1,1,0,1,1,840.9578125
Devolved responsive software,2023-06-20,2024-04-08,57242.0,0.45,podcast,B2B,referral,0.39,303600.48,293,246358.47999999998,6,June,2,2023,4,April,2,2024,Tuesday,2Q2023,low revenue,Medio,high budget,Media,0.8114561610706281,1036.1791126279863,1,0,0,0,0,1467.7435897435898
Object-based bandwidth-monitored moderator,2023-03-04,2023-08-21,60540.16,0.37,social media,B2B,paid,0.77,363933.17,170,303393.01,3,March,1,2023,8,August,3,2023,Saturday,1Q2023,low revenue,Bajo,high budget,Alta,0.8336503375056471,2140.7833529411764,1,0,0,0,1,786.2358441558442
Realigned responsive Graphical User Interface,2023-04-01,2024-02-26,58942.77,0.62,webinar,B2B,promotion,0.36,21603.2,331,-37339.56999999999,4,April,2,2023,2,February,1,2024,Saturday,2Q2023,low revenue,Alto,high budget,Media,-1.7284277329284545,65.26646525679759,1,1,0,0,0,1637.2991666666667
User-friendly directional ability,2023-02-19,2024-05-04,29071.82,0.63,podcast,B2B,referral,0.76,230294.51,440,201222.69,2,February,1,2023,5,May,2,2024,Sunday,1Q2023,low revenue,Alto,low budget,Alta,0.8737624270765291,523.3966136363637,1,1,0,1,0,382.52394736842103
Open-source intermediate benchmark,2022-11-04,2023-10-18,5676.22,0.6,podcast,B2C,organic,0.2,173724.64,348,168048.42,11,November,4,2022,10,October,4,2023,Friday,4Q2022,low revenue,Alto,low budget,Baja,0.9673263389695325,499.20873563218396,1,1,1,0,1,283.81100000000004
Function-based zero-defect policy,2023-03-14,2024-04-29,73071.43,0.6,email,B2B,organic,0.71,495585.22,412,422513.79,3,March,1,2023,4,April,2,2024,Tuesday,1Q2023,medium revenue,Alto,high budget,Alta,0.8525552678911611,1202.8767475728155,1,1,0,1,1,1029.175070422535
Face-to-face grid-enabled workforce,2022-11-27,2023-08-31,82353.71,0.18,podcast,B2C,paid,0.12,460827.6,277,378473.88999999996,11,November,4,2022,8,August,3,2023,Sunday,4Q2022,medium revenue,Muy bajo,high budget,Baja,0.8212917151663659,1663.6375451263536,1,0,1,0,1,6862.809166666667
Cross-platform secondary functionalities,2023-04-15,2024-06-29,98712.39,0.22,email,B2C,organic,0.42,755879.46,441,657167.07,4,April,2,2023,6,June,2,2024,Saturday,2Q2023,high revenue,Bajo,high budget,Media,0.8694072332644149,1714.012380952381,1,0,0,1,1,2350.295
Implemented multi-tasking emulation,2022-11-13,2024-07-30,10934.43,0.26,webinar,B2C,promotion,0.66,892351.21,625,881416.7799999999,11,November,4,2022,7,July,3,2024,Sunday,4Q2022,high revenue,Bajo,low budget,Alta,0.9877464950151185,1427.7619359999999,1,0,1,1,0,165.67318181818183
Self-enabling incremental success,2023-07-14,2024-05-09,17049.14,0.4,podcast,B2B,referral,0.49,571810.89,300,554761.75,7,July,3,2023,5,May,2,2024,Friday,3Q2023,medium revenue,Medio,low budget,Media,0.9701839536494312,1906.0363,1,0,0,0,0,347.9416326530612
Cloned contextually-based contingency,2023-03-30,2024-06-19,85238.23,0.59,social media,B2C,paid,0.92,595765.41,447,510527.18000000005,3,March,1,2023,6,June,2,2024,Thursday,1Q2023,medium revenue,Medio,high budget,Muy alta,0.8569265207928067,1332.808523489933,1,1,0,1,1,926.5024999999999
Self-enabling intermediate time-frame,2022-11-13,2023-11-27,55709.15,0.56,social media,B2B,promotion,0.73,681690.46,379,625981.3099999999,11,November,4,2022,11,November,4,2023,Sunday,4Q2022,high revenue,Medio,high budget,Alta,0.9182779380541719,1798.6555672823217,1,1,1,1,0,763.1390410958904
Organic 3rdgeneration conglomeration,2023-03-31,2023-10-26,39804.32,0.13,webinar,B2C,referral,0.52,522492.25,209,482687.93,3,March,1,2023,10,October,4,2023,Friday,1Q2023,medium revenue,Muy bajo,medium budget,Media,0.9238183532865798,2499.962918660287,1,0,0,0,0,765.4676923076923
Managed bandwidth-monitored time-frame,2023-02-21,2023-10-17,92196.9,0.4,email,B2B,promotion,0.87,398617.27,238,306420.37,2,February,1,2023,10,October,4,2023,Tuesday,1Q2023,low revenue,Medio,high budget,Alta,0.768708214774538,1674.8624789915966,1,0,0,0,0,1059.7344827586205
Extended executive budgetary management,2023-06-25,2023-09-13,73821.98,0.81,email,B2C,promotion,0.35,173058.11,80,99236.12999999999,6,June,2,2023,9,September,3,2023,Sunday,2Q2023,low revenue,Muy alto,high budget,Media,0.5734266368678128,2163.2263749999997,1,1,0,0,0,2109.1994285714286
Fully-configurable human-resource encryption,2022-11-05,2023-08-13,57144.48,0.75,webinar,B2C,referral,0.9,516187.33,281,459042.85000000003,11,November,4,2022,8,August,3,2023,Saturday,4Q2022,medium revenue,Alto,high budget,Muy alta,0.8892950743289263,1836.965587188612,1,1,1,0,0,634.9386666666667
Organic directional utilization,2022-08-11,2024-01-31,24300.83,0.57,podcast,B2B,referral,0.64,764590.33,538,740289.5,8,August,3,2022,1,January,1,2024,Thursday,3Q2022,high revenue,Medio,low budget,Alta,0.9682171889356749,1421.1716171003716,1,1,0,1,0,379.70046875
Enhanced empowering conglomeration,2022-11-26,2023-08-08,94697.82,0.22,podcast,B2C,paid,0.78,347899.84,255,253202.02000000002,11,November,4,2022,8,August,3,2023,Saturday,4Q2022,low revenue,Bajo,high budget,Alta,0.7278014844732323,1364.3130980392157,1,0,1,0,1,1214.0746153846155
Open-architected asymmetric extranet,2023-06-14,2024-04-07,97456.14,0.3,social media,B2B,organic,0.63,256244.86,298,158788.71999999997,6,June,2,2023,4,April,2,2024,Wednesday,2Q2023,low revenue,Bajo,high budget,Alta,0.6196757273492236,859.8820805369127,1,0,0,0,1,1546.922857142857
Multi-lateral 6thgeneration benchmark,2022-09-02,2024-04-22,87665.6,0.51,podcast,B2B,promotion,0.56,10257.4,598,-77408.20000000001,9,September,3,2022,4,April,2,2024,Friday,3Q2022,low revenue,Medio,high budget,Media,-7.546571255873809,17.152842809364547,1,1,0,1,0,1565.4571428571428
Fully-configurable asymmetric moderator,2023-03-16,2023-12-29,86652.2,0.66,social media,B2C,promotion,0.56,261296.54,288,174644.34000000003,3,March,1,2023,12,December,4,2023,Thursday,1Q2023,low revenue,Alto,high budget,Media,0.6683760144699965,907.2796527777778,1,1,0,0,0,1547.360714285714
Balanced mission-critical budgetary management,2022-11-27,2023-08-22,69094.64,0.8,email,B2B,referral,0.49,709300.16,268,640205.52,11,November,4,2022,8,August,3,2023,Sunday,4Q2022,high revenue,Muy alto,high budget,Media,0.9025875871788891,2646.6423880597017,1,1,1,0,0,1410.094693877551
Robust contextually-based knowledgebase,2022-08-21,2024-07-09,97758.67,0.33,podcast,B2C,referral,0.82,624479.51,688,526720.84,8,August,3,2022,7,July,3,2024,Sunday,3Q2022,medium revenue,Bajo,high budget,Alta,0.8434557604620205,907.6737063953489,1,0,0,1,0,1192.1789024390243
Extended solution-oriented capacity,2022-12-04,2024-04-16,83834.2,0.33,webinar,B2B,organic,0.31,896314.18,499,812479.9800000001,12,December,4,2022,4,April,2,2024,Sunday,4Q2022,high revenue,Bajo,high budget,Media,0.9064678414437224,1796.2208016032066,1,0,1,1,1,2704.329032258064
Persistent upward-trending Graphical User Interface,2023-06-01,2024-07-03,14858.38,0.12,email,B2B,promotion,0.57,317944.61,398,303086.23,6,June,2,2023,7,July,3,2024,Thursday,2Q2023,low revenue,Muy bajo,low budget,Media,0.9532673945942974,798.8558040201004,1,0,0,1,0,260.67333333333335
Multi-tiered disintermediate parallelism,2023-05-11,2024-05-15,57198.5,0.9,email,B2C,referral,0.38,918303.1,370,861104.6,5,May,2,2023,5,May,2,2024,Thursday,2Q2023,high revenue,Muy alto,high budget,Media,0.9377128314169908,2481.90027027027,1,1,0,1,0,1505.2236842105262
Intuitive well-modulated support,2022-08-14,2024-07-30,94357.67,0.8,email,B2C,organic,0.14,988161.51,716,893803.84,8,August,3,2022,7,July,3,2024,Sunday,3Q2022,high revenue,Muy alto,high budget,Baja,0.9045118950241241,1380.113840782123,1,1,0,1,1,6739.83357142857
Function-based zero-defect capability,2023-04-06,2024-03-11,19142.15,0.51,podcast,B2C,referral,0.18,597625.15,340,578483.0,4,April,2,2023,3,March,1,2024,Thursday,2Q2023,medium revenue,Medio,low budget,Baja,0.967969637823977,1757.7210294117647,1,1,0,0,0,1063.4527777777778
Integrated national architecture,2023-07-14,2024-07-31,32039.7,0.86,social media,B2B,referral,0.97,334033.28,383,301993.58,7,July,3,2023,7,July,3,2024,Friday,3Q2023,low revenue,Muy alto,medium budget,Muy alta,0.9040823117983933,872.1495561357704,1,1,0,1,0,330.3061855670103
Horizontal tangible focus group,2023-07-18,2024-05-07,82834.56,0.4,email,B2C,paid,0.18,592739.43,294,509904.87000000005,7,July,3,2023,5,May,2,2024,Tuesday,3Q2023,medium revenue,Medio,high budget,Baja,0.8602513080663454,2016.1205102040817,1,0,0,0,1,4601.92
Reduced needs-based approach,2023-03-10,2024-06-22,86489.51,0.77,webinar,B2C,paid,0.76,815566.88,470,729077.37,3,March,1,2023,6,June,2,2024,Friday,1Q2023,high revenue,Alto,high budget,Alta,0.893951664638466,1735.248680851064,1,1,0,1,1,1138.0198684210525
Robust human-resource instruction set,2022-09-20,2023-12-25,67375.9,0.25,webinar,B2B,referral,0.77,513716.43,461,446340.53,9,September,3,2022,12,December,4,2023,Tuesday,3Q2022,medium revenue,Bajo,high budget,Alta,0.8688461258675336,1114.3523427331886,1,0,0,1,0,875.0116883116882
Grass-roots asynchronous knowledgebase,2023-05-10,2023-12-09,17355.98,0.74,social media,B2B,referral,0.48,9695.94,213,-7660.039999999999,5,May,2,2023,12,December,4,2023,Wednesday,2Q2023,low revenue,Alto,low budget,Media,-0.7900255158344626,45.52084507042254,1,1,0,0,0,361.5829166666667
Synergized 24/7 interface,2022-11-09,2023-08-02,22675.22,0.52,webinar,B2B,referral,0.78,402920.91,266,380245.68999999994,11,November,4,2022,8,August,3,2023,Wednesday,4Q2022,medium revenue,Medio,low budget,Alta,0.9437229008541651,1514.7402631578946,1,1,1,0,0,290.70794871794874
Re-contextualized uniform interface,2022-12-28,2023-10-02,68727.53,0.33,webinar,B2B,referral,0.12,266449.67,278,197722.13999999998,12,December,4,2022,10,October,4,2023,Wednesday,4Q2022,low revenue,Bajo,high budget,Baja,0.7420618685697753,958.4520503597122,1,0,1,0,0,5727.294166666667
Automated executive moderator,2022-09-03,2024-01-06,65864.61,0.29,social media,B2B,promotion,0.19,999317.92,490,933453.31,9,September,3,2022,1,January,1,2024,Saturday,3Q2022,high revenue,Bajo,high budget,Baja,0.9340904344034979,2039.4243265306122,1,0,0,1,0,3466.5584210526317
Front-line national Graphic Interface,2022-12-08,2024-04-29,20823.67,0.81,email,B2C,paid,0.38,648404.63,508,627580.96,12,December,4,2022,4,April,2,2024,Thursday,4Q2022,medium revenue,Muy alto,low budget,Media,0.9678847604774197,1276.3870669291339,1,1,1,1,1,547.9913157894737
Function-based 3rdgeneration Graphical User Interface,2023-03-23,2023-11-07,22088.95,0.31,podcast,B2C,organic,0.71,693169.8,229,671080.8500000001,3,March,1,2023,11,November,4,2023,Thursday,1Q2023,high revenue,Bajo,low budget,Alta,0.9681334212771532,3026.942358078603,1,0,0,0,1,311.1119718309859
Customizable bi-directional functionalities,2023-01-11,2023-08-15,39804.7,0.36,email,B2C,promotion,0.96,914417.1,216,874612.4,1,January,1,2023,8,August,3,2023,Wednesday,1Q2023,high revenue,Bajo,medium budget,Muy alta,0.9564698647914612,4233.412499999999,1,0,1,0,0,414.6322916666666
